name,date_of_birth,place_of_birth,team,season,season_start_year,season_end_year
AdriÃ  OrtolÃ ,20/08/1993,Spain,fc-barcelona,Season 2017/2018,2017,2018
Jasper Cillessen,22/04/1989,Netherlands,fc-barcelona,Season 2017/2018,2017,2018
Marc-AndrÃ© ter Stegen,30/04/1992,Germany,fc-barcelona,Season 2017/2018,2017,2018
Aleix Vidal,21/08/1989,Spain,fc-barcelona,Season 2017/2018,2017,2018
Cucurella,22/07/1998,Spain,fc-barcelona,Season 2017/2018,2017,2018
David Costas,26/03/1995,Spain,fc-barcelona,Season 2017/2018,2017,2018
Lucas Digne,20/07/1993,France,fc-barcelona,Season 2017/2018,2017,2018
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2017/2018,2017,2018
Yerry Mina,23/09/1994,Colombia,fc-barcelona,Season 2017/2018,2017,2018
NÃ©lson Semedo,16/11/1993,Portugal,fc-barcelona,Season 2017/2018,2017,2018
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2017/2018,2017,2018
Samuel Umtiti,14/11/1993,France,fc-barcelona,Season 2017/2018,2017,2018
Thomas Vermaelen,14/11/1985,Belgium,fc-barcelona,Season 2017/2018,2017,2018
AndrÃ© Gomes,30/07/1993,Portugal,fc-barcelona,Season 2017/2018,2017,2018
Busquets,16/07/1988,Spain,fc-barcelona,Season 2017/2018,2017,2018
Carles AleÃ±Ã¡,05/01/1998,Spain,fc-barcelona,Season 2017/2018,2017,2018
Coutinho,12/06/1992,Brazil,fc-barcelona,Season 2017/2018,2017,2018
Denis SuÃ¡rez,06/01/1994,Spain,fc-barcelona,Season 2017/2018,2017,2018
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2017/2018,2017,2018
JosÃ© ArnÃ¡iz,15/04/1995,Spain,fc-barcelona,Season 2017/2018,2017,2018
Oriol Busquets,20/01/1999,Spain,fc-barcelona,Season 2017/2018,2017,2018
Paulinho,25/07/1988,Brazil,fc-barcelona,Season 2017/2018,2017,2018
Ivan RakitiÄ,10/03/1988,Croatia,fc-barcelona,Season 2017/2018,2017,2018
Samper,20/01/1995,Spain,fc-barcelona,Season 2017/2018,2017,2018
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2017/2018,2017,2018
Ousmane DembÃ©lÃ©,15/05/1997,France,fc-barcelona,Season 2017/2018,2017,2018
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2017/2018,2017,2018
Paco AlcÃ¡cer,30/08/1993,Spain,fc-barcelona,Season 2017/2018,2017,2018
Luis SuÃ¡rez,24/01/1987,Uruguay,fc-barcelona,Season 2017/2018,2017,2018
Valverde,09/02/1964,Spain,fc-barcelona,Season 2017/2018,2017,2018
Aspiazu,05/11/1962,Spain,fc-barcelona,Season 2017/2018,2017,2018
BarbarÃ ,23/07/1966,Spain,fc-barcelona,Season 2017/2018,2017,2018
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2017/2018,2017,2018
Jasper Cillessen,22/04/1989,Netherlands,fc-barcelona,Season 2016/2017,2016,2017
Jordi Masip,03/01/1989,Spain,fc-barcelona,Season 2016/2017,2016,2017
Marc-AndrÃ© ter Stegen,30/04/1992,Germany,fc-barcelona,Season 2016/2017,2016,2017
Aleix Vidal,21/08/1989,Spain,fc-barcelona,Season 2016/2017,2016,2017
Borja LÃ³pez,02/02/1994,Spain,fc-barcelona,Season 2016/2017,2016,2017
Lucas Digne,20/07/1993,France,fc-barcelona,Season 2016/2017,2016,2017
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2016/2017,2016,2017
Marlon,07/09/1995,Brazil,fc-barcelona,Season 2016/2017,2016,2017
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2016/2017,2016,2017
JÃ©rÃ©my Mathieu,29/10/1983,France,fc-barcelona,Season 2016/2017,2016,2017
Nili,18/02/1994,Spain,fc-barcelona,Season 2016/2017,2016,2017
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2016/2017,2016,2017
Samuel Umtiti,14/11/1993,France,fc-barcelona,Season 2016/2017,2016,2017
AndrÃ© Gomes,30/07/1993,Portugal,fc-barcelona,Season 2016/2017,2016,2017
Busquets,16/07/1988,Spain,fc-barcelona,Season 2016/2017,2016,2017
Carles AleÃ±Ã¡,05/01/1998,Spain,fc-barcelona,Season 2016/2017,2016,2017
Denis SuÃ¡rez,06/01/1994,Spain,fc-barcelona,Season 2016/2017,2016,2017
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2016/2017,2016,2017
Wilfrid Kaptoum,07/07/1996,Cameroon,fc-barcelona,Season 2016/2017,2016,2017
Rafinha,12/02/1993,Brazil,fc-barcelona,Season 2016/2017,2016,2017
Ivan RakitiÄ,10/03/1988,Croatia,fc-barcelona,Season 2016/2017,2016,2017
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2016/2017,2016,2017
Arda Turan,30/01/1987,Turkey,fc-barcelona,Season 2016/2017,2016,2017
Ãlex Carbonell,15/09/1997,Spain,fc-barcelona,Season 2016/2017,2016,2017
Cristian Tello,11/08/1991,Spain,fc-barcelona,Season 2016/2017,2016,2017
Marc Cardona,08/07/1995,Spain,fc-barcelona,Season 2016/2017,2016,2017
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2016/2017,2016,2017
Neymar,05/02/1992,Brazil,fc-barcelona,Season 2016/2017,2016,2017
Paco AlcÃ¡cer,30/08/1993,Spain,fc-barcelona,Season 2016/2017,2016,2017
Luis SuÃ¡rez,24/01/1987,Uruguay,fc-barcelona,Season 2016/2017,2016,2017
Luis Enrique,08/05/1970,Spain,fc-barcelona,Season 2016/2017,2016,2017
BarbarÃ ,23/07/1966,Spain,fc-barcelona,Season 2016/2017,2016,2017
Robert Moreno,10/09/1977,Spain,fc-barcelona,Season 2016/2017,2016,2017
UnzuÃ©,22/04/1967,Spain,fc-barcelona,Season 2016/2017,2016,2017
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2016/2017,2016,2017
AdriÃ  OrtolÃ ,20/08/1993,Spain,fc-barcelona,Season 2015/2016,2015,2016
Claudio Bravo,13/04/1983,Chile,fc-barcelona,Season 2015/2016,2015,2016
Jordi Masip,03/01/1989,Spain,fc-barcelona,Season 2015/2016,2015,2016
Marc-AndrÃ© ter Stegen,30/04/1992,Germany,fc-barcelona,Season 2015/2016,2015,2016
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Aleix Vidal,21/08/1989,Spain,fc-barcelona,Season 2015/2016,2015,2016
Bartra,15/01/1991,Spain,fc-barcelona,Season 2015/2016,2015,2016
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Douglas,06/08/1990,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2015/2016,2015,2016
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2015/2016,2015,2016
JÃ©rÃ©my Mathieu,29/10/1983,France,fc-barcelona,Season 2015/2016,2015,2016
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2015/2016,2015,2016
Thomas Vermaelen,14/11/1985,Belgium,fc-barcelona,Season 2015/2016,2015,2016
Busquets,16/07/1988,Spain,fc-barcelona,Season 2015/2016,2015,2016
Carles AleÃ±Ã¡,05/01/1998,Spain,fc-barcelona,Season 2015/2016,2015,2016
Gumbau,18/12/1994,Spain,fc-barcelona,Season 2015/2016,2015,2016
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2015/2016,2015,2016
Juan CÃ¡mara,13/02/1994,Spain,fc-barcelona,Season 2015/2016,2015,2016
Wilfrid Kaptoum,07/07/1996,Cameroon,fc-barcelona,Season 2015/2016,2015,2016
Rafinha,12/02/1993,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Ivan RakitiÄ,10/03/1988,Croatia,fc-barcelona,Season 2015/2016,2015,2016
Samper,20/01/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2015/2016,2015,2016
Arda Turan,30/01/1987,Turkey,fc-barcelona,Season 2015/2016,2015,2016
Dani Romera,23/08/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2015/2016,2015,2016
Munir,01/09/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Neymar,05/02/1992,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Sandro,09/07/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Luis SuÃ¡rez,24/01/1987,Uruguay,fc-barcelona,Season 2015/2016,2015,2016
Luis Enrique,08/05/1970,Spain,fc-barcelona,Season 2015/2016,2015,2016
BarbarÃ ,23/07/1966,Spain,fc-barcelona,Season 2015/2016,2015,2016
Robert Moreno,10/09/1977,Spain,fc-barcelona,Season 2015/2016,2015,2016
UnzuÃ©,22/04/1967,Spain,fc-barcelona,Season 2015/2016,2015,2016
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2015/2016,2015,2016
Claudio Bravo,13/04/1983,Chile,fc-barcelona,Season 2014/2015,2014,2015
Jordi Masip,03/01/1989,Spain,fc-barcelona,Season 2014/2015,2014,2015
Marc-AndrÃ© ter Stegen,30/04/1992,Germany,fc-barcelona,Season 2014/2015,2014,2015
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Bartra,15/01/1991,Spain,fc-barcelona,Season 2014/2015,2014,2015
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Douglas,06/08/1990,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Edgar IÃ©,01/05/1994,Portugal,fc-barcelona,Season 2014/2015,2014,2015
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2014/2015,2014,2015
MartÃ­n Montoya,14/04/1991,Spain,fc-barcelona,Season 2014/2015,2014,2015
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2014/2015,2014,2015
JÃ©rÃ©my Mathieu,29/10/1983,France,fc-barcelona,Season 2014/2015,2014,2015
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2014/2015,2014,2015
Thomas Vermaelen,14/11/1985,Belgium,fc-barcelona,Season 2014/2015,2014,2015
Busquets,16/07/1988,Spain,fc-barcelona,Season 2014/2015,2014,2015
Diawandou DiagnÃ©,08/11/1994,Senegal,fc-barcelona,Season 2014/2015,2014,2015
Gumbau,18/12/1994,Spain,fc-barcelona,Season 2014/2015,2014,2015
Alen HaliloviÄ,18/06/1996,Croatia,fc-barcelona,Season 2014/2015,2014,2015
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2014/2015,2014,2015
Rafinha,12/02/1993,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Ivan RakitiÄ,10/03/1988,Croatia,fc-barcelona,Season 2014/2015,2014,2015
Samper,20/01/1995,Spain,fc-barcelona,Season 2014/2015,2014,2015
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2014/2015,2014,2015
Xavi,25/01/1980,Spain,fc-barcelona,Season 2014/2015,2014,2015
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2014/2015,2014,2015
Munir,01/09/1995,Spain,fc-barcelona,Season 2014/2015,2014,2015
Neymar,05/02/1992,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Pedro,28/07/1987,Spain,fc-barcelona,Season 2014/2015,2014,2015
Sandro,09/07/1995,Spain,fc-barcelona,Season 2014/2015,2014,2015
Luis SuÃ¡rez,24/01/1987,Uruguay,fc-barcelona,Season 2014/2015,2014,2015
Adama TraorÃ©,25/01/1996,Mali,fc-barcelona,Season 2014/2015,2014,2015
Luis Enrique,08/05/1970,Spain,fc-barcelona,Season 2014/2015,2014,2015
BarbarÃ ,23/07/1966,Spain,fc-barcelona,Season 2014/2015,2014,2015
Robert Moreno,10/09/1977,Spain,fc-barcelona,Season 2014/2015,2014,2015
UnzuÃ©,22/04/1967,Spain,fc-barcelona,Season 2014/2015,2014,2015
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2014/2015,2014,2015
Oier,14/09/1989,Spain,fc-barcelona,Season 2013/2014,2013,2014
Pinto,08/11/1975,Spain,fc-barcelona,Season 2013/2014,2013,2014
VÃ­ctor ValdÃ©s,14/01/1982,Spain,fc-barcelona,Season 2013/2014,2013,2014
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2013/2014,2013,2014
Bartra,15/01/1991,Spain,fc-barcelona,Season 2013/2014,2013,2014
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2013/2014,2013,2014
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2013/2014,2013,2014
MartÃ­n Montoya,14/04/1991,Spain,fc-barcelona,Season 2013/2014,2013,2014
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2013/2014,2013,2014
Patric,17/04/1993,Spain,fc-barcelona,Season 2013/2014,2013,2014
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2013/2014,2013,2014
Puyol,13/04/1978,Spain,fc-barcelona,Season 2013/2014,2013,2014
Sergi GÃ³mez,28/03/1992,Spain,fc-barcelona,Season 2013/2014,2013,2014
Ibrahim Afellay,02/04/1986,Netherlands,fc-barcelona,Season 2013/2014,2013,2014
Busquets,16/07/1988,Spain,fc-barcelona,Season 2013/2014,2013,2014
Cesc FÃ bregas,04/05/1987,Spain,fc-barcelona,Season 2013/2014,2013,2014
Jonathan dos Santos,26/04/1990,Mexico,fc-barcelona,Season 2013/2014,2013,2014
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2013/2014,2013,2014
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2013/2014,2013,2014
Alex Song,09/09/1987,Cameroon,fc-barcelona,Season 2013/2014,2013,2014
Xavi,25/01/1980,Spain,fc-barcelona,Season 2013/2014,2013,2014
Cristian Tello,11/08/1991,Spain,fc-barcelona,Season 2013/2014,2013,2014
Jean Dongou,20/04/1995,Cameroon,fc-barcelona,Season 2013/2014,2013,2014
Isaac Cuenca,27/04/1991,Spain,fc-barcelona,Season 2013/2014,2013,2014
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2013/2014,2013,2014
Neymar,05/02/1992,Brazil,fc-barcelona,Season 2013/2014,2013,2014
Pedro,28/07/1987,Spain,fc-barcelona,Season 2013/2014,2013,2014
Alexis SÃ¡nchez,19/12/1988,Chile,fc-barcelona,Season 2013/2014,2013,2014
Adama TraorÃ©,25/01/1996,Mali,fc-barcelona,Season 2013/2014,2013,2014
Jorge Pautasso,03/02/1962,Argentina,fc-barcelona,Season 2013/2014,2013,2014
Roura,10/09/1967,Spain,fc-barcelona,Season 2013/2014,2013,2014
Rubi,05/02/1970,Spain,fc-barcelona,Season 2013/2014,2013,2014
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2013/2014,2013,2014
Jordi Masip,03/01/1989,Spain,fc-barcelona,Season 2012/2013,2012,2013
Oier,14/09/1989,Spain,fc-barcelona,Season 2012/2013,2012,2013
Pinto,08/11/1975,Spain,fc-barcelona,Season 2012/2013,2012,2013
VÃ­ctor ValdÃ©s,14/01/1982,Spain,fc-barcelona,Season 2012/2013,2012,2013
Ãric Abidal,11/09/1979,France,fc-barcelona,Season 2012/2013,2012,2013
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2012/2013,2012,2013
Bartra,15/01/1991,Spain,fc-barcelona,Season 2012/2013,2012,2013
Carles Planas,04/03/1991,Spain,fc-barcelona,Season 2012/2013,2012,2013
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2012/2013,2012,2013
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2012/2013,2012,2013
MartÃ­n Montoya,14/04/1991,Spain,fc-barcelona,Season 2012/2013,2012,2013
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2012/2013,2012,2013
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2012/2013,2012,2013
Puyol,13/04/1978,Spain,fc-barcelona,Season 2012/2013,2012,2013
Sergi GÃ³mez,28/03/1992,Spain,fc-barcelona,Season 2012/2013,2012,2013
Busquets,16/07/1988,Spain,fc-barcelona,Season 2012/2013,2012,2013
Cesc FÃ bregas,04/05/1987,Spain,fc-barcelona,Season 2012/2013,2012,2013
Jonathan dos Santos,26/04/1990,Mexico,fc-barcelona,Season 2012/2013,2012,2013
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2012/2013,2012,2013
Rafinha,12/02/1993,Brazil,fc-barcelona,Season 2012/2013,2012,2013
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2012/2013,2012,2013
Alex Song,09/09/1987,Cameroon,fc-barcelona,Season 2012/2013,2012,2013
Thiago,11/04/1991,Spain,fc-barcelona,Season 2012/2013,2012,2013
Xavi,25/01/1980,Spain,fc-barcelona,Season 2012/2013,2012,2013
Cristian Tello,11/08/1991,Spain,fc-barcelona,Season 2012/2013,2012,2013
David Villa,03/12/1981,Spain,fc-barcelona,Season 2012/2013,2012,2013
Gerard Deulofeu,13/03/1994,Spain,fc-barcelona,Season 2012/2013,2012,2013
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2012/2013,2012,2013
Pedro,28/07/1987,Spain,fc-barcelona,Season 2012/2013,2012,2013
Alexis SÃ¡nchez,19/12/1988,Chile,fc-barcelona,Season 2012/2013,2012,2013
Vilanova,17/09/1968,Spain,fc-barcelona,Season 2012/2013,2012,2013
Carles Planchart,17/12/1965,Spain,fc-barcelona,Season 2012/2013,2012,2013
Roura,10/09/1967,Spain,fc-barcelona,Season 2012/2013,2012,2013
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2012/2013,2012,2013
Oier,14/09/1989,Spain,fc-barcelona,Season 2011/2012,2011,2012
Pinto,08/11/1975,Spain,fc-barcelona,Season 2011/2012,2011,2012
RubÃ©n MiÃ±o,18/01/1989,Spain,fc-barcelona,Season 2011/2012,2011,2012
VÃ­ctor ValdÃ©s,14/01/1982,Spain,fc-barcelona,Season 2011/2012,2011,2012
Ãric Abidal,11/09/1979,France,fc-barcelona,Season 2011/2012,2011,2012
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2011/2012,2011,2012
Bartra,15/01/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2011/2012,2011,2012
FontÃ s,14/11/1989,Spain,fc-barcelona,Season 2011/2012,2011,2012
MartÃ­n Montoya,14/04/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2011/2012,2011,2012
Muniesa,27/03/1992,Spain,fc-barcelona,Season 2011/2012,2011,2012
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2011/2012,2011,2012
Puyol,13/04/1978,Spain,fc-barcelona,Season 2011/2012,2011,2012
Sergi GÃ³mez,28/03/1992,Spain,fc-barcelona,Season 2011/2012,2011,2012
Ibrahim Afellay,02/04/1986,Netherlands,fc-barcelona,Season 2011/2012,2011,2012
Busquets,16/07/1988,Spain,fc-barcelona,Season 2011/2012,2011,2012
Cesc FÃ bregas,04/05/1987,Spain,fc-barcelona,Season 2011/2012,2011,2012
Jonathan dos Santos,26/04/1990,Mexico,fc-barcelona,Season 2011/2012,2011,2012
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2011/2012,2011,2012
Seydou Keita,16/01/1980,Mali,fc-barcelona,Season 2011/2012,2011,2012
Kiko FemenÃ­a,02/02/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
MartÃ­ Riverola,26/01/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
Rafinha,12/02/1993,Brazil,fc-barcelona,Season 2011/2012,2011,2012
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2011/2012,2011,2012
Thiago,11/04/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
Xavi,25/01/1980,Spain,fc-barcelona,Season 2011/2012,2011,2012
Cristian Tello,11/08/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
David Villa,03/12/1981,Spain,fc-barcelona,Season 2011/2012,2011,2012
Gerard Deulofeu,13/03/1994,Spain,fc-barcelona,Season 2011/2012,2011,2012
Isaac Cuenca,27/04/1991,Spain,fc-barcelona,Season 2011/2012,2011,2012
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2011/2012,2011,2012
Pedro,28/07/1987,Spain,fc-barcelona,Season 2011/2012,2011,2012
Alexis SÃ¡nchez,19/12/1988,Chile,fc-barcelona,Season 2011/2012,2011,2012
Pep Guardiola,18/01/1971,Spain,fc-barcelona,Season 2011/2012,2011,2012
Carles Planchart,17/12/1965,Spain,fc-barcelona,Season 2011/2012,2011,2012
DomÃ¨nec Torrent,14/07/1962,Spain,fc-barcelona,Season 2011/2012,2011,2012
Vilanova,17/09/1968,Spain,fc-barcelona,Season 2011/2012,2011,2012
UnzuÃ©,22/04/1967,Spain,fc-barcelona,Season 2011/2012,2011,2012
Lorenzo Buenaventura,01/01/1963,Spain,fc-barcelona,Season 2011/2012,2011,2012
Oier,14/09/1989,Spain,fc-barcelona,Season 2010/2011,2010,2011
Pinto,08/11/1975,Spain,fc-barcelona,Season 2010/2011,2010,2011
RubÃ©n MiÃ±o,18/01/1989,Spain,fc-barcelona,Season 2010/2011,2010,2011
VÃ­ctor ValdÃ©s,14/01/1982,Spain,fc-barcelona,Season 2010/2011,2010,2011
Ãric Abidal,11/09/1979,France,fc-barcelona,Season 2010/2011,2010,2011
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2010/2011,2010,2011
Bartra,15/01/1991,Spain,fc-barcelona,Season 2010/2011,2010,2011
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2010/2011,2010,2011
FontÃ s,14/11/1989,Spain,fc-barcelona,Season 2010/2011,2010,2011
MartÃ­n Montoya,14/04/1991,Spain,fc-barcelona,Season 2010/2011,2010,2011
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2010/2011,2010,2011
Maxwell,27/08/1981,Brazil,fc-barcelona,Season 2010/2011,2010,2011
Gabriel Milito,07/09/1980,Argentina,fc-barcelona,Season 2010/2011,2010,2011
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2010/2011,2010,2011
Puyol,13/04/1978,Spain,fc-barcelona,Season 2010/2011,2010,2011
Sergi GÃ³mez,28/03/1992,Spain,fc-barcelona,Season 2010/2011,2010,2011
Ibrahim Afellay,02/04/1986,Netherlands,fc-barcelona,Season 2010/2011,2010,2011
Busquets,16/07/1988,Spain,fc-barcelona,Season 2010/2011,2010,2011
Jonathan dos Santos,26/04/1990,Mexico,fc-barcelona,Season 2010/2011,2010,2011
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2010/2011,2010,2011
Seydou Keita,16/01/1980,Mali,fc-barcelona,Season 2010/2011,2010,2011
Oriol Romeu,24/09/1991,Spain,fc-barcelona,Season 2010/2011,2010,2011
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2010/2011,2010,2011
Thiago,11/04/1991,Spain,fc-barcelona,Season 2010/2011,2010,2011
VÃ­ctor VÃ¡zquez,20/01/1987,Spain,fc-barcelona,Season 2010/2011,2010,2011
Xavi,25/01/1980,Spain,fc-barcelona,Season 2010/2011,2010,2011
Bojan,28/08/1990,Spain,fc-barcelona,Season 2010/2011,2010,2011
David Villa,03/12/1981,Spain,fc-barcelona,Season 2010/2011,2010,2011
Gerard Deulofeu,13/03/1994,Spain,fc-barcelona,Season 2010/2011,2010,2011
JeffrÃ©n,20/01/1988,Spain,fc-barcelona,Season 2010/2011,2010,2011
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2010/2011,2010,2011
Nolito,15/10/1986,Spain,fc-barcelona,Season 2010/2011,2010,2011
Pedro,28/07/1987,Spain,fc-barcelona,Season 2010/2011,2010,2011
Pep Guardiola,18/01/1971,Spain,fc-barcelona,Season 2010/2011,2010,2011
Carles Planchart,17/12/1965,Spain,fc-barcelona,Season 2010/2011,2010,2011
DomÃ¨nec Torrent,14/07/1962,Spain,fc-barcelona,Season 2010/2011,2010,2011
Vilanova,17/09/1968,Spain,fc-barcelona,Season 2010/2011,2010,2011
Busquets,19/07/1967,Spain,fc-barcelona,Season 2010/2011,2010,2011
Lorenzo Buenaventura,01/01/1963,Spain,fc-barcelona,Season 2010/2011,2010,2011
Pinto,08/11/1975,Spain,fc-barcelona,Season 2009/2010,2009,2010
RubÃ©n MiÃ±o,18/01/1989,Spain,fc-barcelona,Season 2009/2010,2009,2010
VÃ­ctor ValdÃ©s,14/01/1982,Spain,fc-barcelona,Season 2009/2010,2009,2010
Ãric Abidal,11/09/1979,France,fc-barcelona,Season 2009/2010,2009,2010
Bartra,15/01/1991,Spain,fc-barcelona,Season 2009/2010,2009,2010
Dmitro Chigrinskiy,07/11/1986,Ukraine,fc-barcelona,Season 2009/2010,2009,2010
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2009/2010,2009,2010
FontÃ s,14/11/1989,Spain,fc-barcelona,Season 2009/2010,2009,2010
Rafael MÃ¡rquez,13/02/1979,Mexico,fc-barcelona,Season 2009/2010,2009,2010
Maxwell,27/08/1981,Brazil,fc-barcelona,Season 2009/2010,2009,2010
Gabriel Milito,07/09/1980,Argentina,fc-barcelona,Season 2009/2010,2009,2010
Muniesa,27/03/1992,Spain,fc-barcelona,Season 2009/2010,2009,2010
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2009/2010,2009,2010
Puyol,13/04/1978,Spain,fc-barcelona,Season 2009/2010,2009,2010
Busquets,16/07/1988,Spain,fc-barcelona,Season 2009/2010,2009,2010
Jonathan dos Santos,26/04/1990,Mexico,fc-barcelona,Season 2009/2010,2009,2010
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2009/2010,2009,2010
Seydou Keita,16/01/1980,Mali,fc-barcelona,Season 2009/2010,2009,2010
Thiago,11/04/1991,Spain,fc-barcelona,Season 2009/2010,2009,2010
Yaya TourÃ©,13/05/1983,Ivory Coast,fc-barcelona,Season 2009/2010,2009,2010
Xavi,25/01/1980,Spain,fc-barcelona,Season 2009/2010,2009,2010
Gai Assulin,09/04/1991,Israel,fc-barcelona,Season 2009/2010,2009,2010
Bojan,28/08/1990,Spain,fc-barcelona,Season 2009/2010,2009,2010
Edu Oriol,05/11/1986,Spain,fc-barcelona,Season 2009/2010,2009,2010
Thierry Henry,17/08/1977,France,fc-barcelona,Season 2009/2010,2009,2010
Zlatan IbrahimoviÄ,03/10/1981,Sweden,fc-barcelona,Season 2009/2010,2009,2010
JeffrÃ©n,20/01/1988,Spain,fc-barcelona,Season 2009/2010,2009,2010
Jonathan Soriano,24/09/1985,Spain,fc-barcelona,Season 2009/2010,2009,2010
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2009/2010,2009,2010
Pedro,28/07/1987,Spain,fc-barcelona,Season 2009/2010,2009,2010
Pep Guardiola,18/01/1971,Spain,fc-barcelona,Season 2009/2010,2009,2010
Carles Planchart,17/12/1965,Spain,fc-barcelona,Season 2009/2010,2009,2010
DomÃ¨nec Torrent,14/07/1962,Spain,fc-barcelona,Season 2009/2010,2009,2010
Vilanova,17/09/1968,Spain,fc-barcelona,Season 2009/2010,2009,2010
UnzuÃ©,22/04/1967,Spain,fc-barcelona,Season 2009/2010,2009,2010
Lorenzo Buenaventura,01/01/1963,Spain,fc-barcelona,Season 2009/2010,2009,2010
Jorquera,03/03/1979,Spain,fc-barcelona,Season 2008/2009,2008,2009
Oier,14/09/1989,Spain,fc-barcelona,Season 2008/2009,2008,2009
Pinto,08/11/1975,Spain,fc-barcelona,Season 2008/2009,2008,2009
